region,Resource,Resource_Type,cluster,R_ID,Zone,Num_VRE_Bins,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,LDS,ESR_1,ESR_2,ESR_3,CapRes_1,CapRes_2,CapRes_3,CapRes_4,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,regional_cost_multiplier,cap_recovery_years,wacc_real,cleanpower,RPSH_1,RPSH_2,RPSH_3,RPSH_4,RPSH_5,MinCapTag_1,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost
CA_S,CA_S_biomass_1,biomass,1,11,2,0,0,0,1,0,0,0,0,1,1,1,0.93,0.0,0.0,0.0,0,0,0.0,160.1,0,81,508.761,-1,1.977,0,0.0,0,0,0,0,0,0,0.0,0.0,149833,0.0,0.0,0,4.3,0.0,0,0,0,0.0,12.11,3.387,2.832,biomass,0.303,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_S,CA_S_conventional_hydroelectric_1,conventional_hydroelectric,1,12,2,0,0,0,0,0,0,1,0,0,0,1,0.8,0.0,0.0,0.0,0,0,0.0,1494.9,0,52,1494.896,-1,28.748,0,0.0,0,0,0,0,0,0,0.0,0.0,47048,0.0,0.0,0,0.0,0.0,0,0,0,0.0,8.79,0.002,0.174,None,0.0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.083,0.083,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_S,CA_S_geothermal_1,geothermal,1,13,2,1,0,1,0,0,0,0,0,1,1,1,0.93,0.0,0.0,0.0,0,0,0.0,607.7,0,65,1128.595,-1,9.349,0,0.0,0,0,0,0,0,0,0.0,0.0,209101,0.0,0.0,0,0.0,0.0,0,0,0,0.0,8.8,0.0,0.092,None,0.0,0,1.0,1.0,0.0,1.58,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_s,CA_S_nuclear_1,nuclear,1,14,2,0,1,0,0,0,0,0,0,0,0,1,0.93,0.0,0.0,0.0,0,0,0.0,2323.0,0,2,2323.0,-1,1160.0,0,0.0,0,0,0,0,0,0,0.0,0.0,197293,0.0,0.0,0,0.0,0.0,0,0,248,0.0,10.45,0.0,0.0,pacific_uranium,0.5,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.25,0.25,24,24,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_S,CA_S_hydroelectric_pumped_storage_1,hydroelectric_pumped_storage,1,15,2,0,0,0,0,1,0,0,0,0,0,0,0.95,0.0,0.0,0.0,0,0,25854.0,1668.0,0,8,1668.0,-1,208.5,0,0.0,0,0,0,0,0,0,0.0,0.0,40608,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.036,0,0.866,0.866,0.0,0.083,14,16,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CA_S,CA_S_natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle,1,16,2,0,1,0,0,0,0,0,0,0,0,0,0.93,0.0,0.0,0.0,0,0,0.0,10501.7,0,49,10501.68,0,214.32,0,0.0,0,0,0,0,0,0,0.0,0.0,11839,0.0,0.0,0,3.86,0.0,0,0,92,2.0,8.11,2.464,2.76,pacific_naturalgas,0.425,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.64,0.64,6,6,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine,1,17,2,0,1,0,0,0,0,0,0,0,0,0,0.93,0.0,0.0,0.0,0,0,0.0,7622.0,0,170,7621.95,0,44.835,0,0.0,0,0,0,0,0,0,0.0,0.0,11362,0.0,0.0,0,5.23,0.0,0,0,119,3.5,10.17,1.596,2.783,pacific_naturalgas,0.46,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,3.78,3.78,1,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CA_S,CA_S_natural_gas_steam_turbine_1,natural_gas_steam_turbine,1,18,2,0,1,0,0,0,0,0,0,0,0,0,0.93,0.0,0.0,0.0,0,0,0.0,2939.1,0,17,2939.096,0,172.888,0,0.0,0,0,0,0,0,0,0.0,0.0,36368,0.0,0.0,0,1.06,0.0,0,0,87,13.7,9.97,2.825,1.764,pacific_naturalgas,0.055,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.64,0.64,6,6,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CA_S,CA_S_onshore_wind_turbine_1,onshore_wind_turbine,1,19,2,1,0,1,0,0,0,0,0,1,1,1,0.8,0.0,0.0,0.0,0,0,0.0,4903.2,0,96,4903.2,0,51.075,0,0.0,0,0,0,0,0,0,0.0,0.0,43000,0.0,0.0,0,0.0,0.0,0,0,0,0.0,8.82,0.0,0.14,None,0.0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_S,CA_S_small_hydroelectric_1,small_hydroelectric,1,20,2,0,0,0,1,0,0,0,0,1,1,1,0.8,0.0,0.0,0.0,0,0,0.0,106.7,0,111,442.224,-1,0.961,0,0.0,0,0,0,0,0,0,0.0,0.0,47048,0.0,0.0,0,0.0,0.0,0,0,0,0.0,8.79,0.0,0.164,None,0.0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
